t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z
75,293.9007088797143,101.41732679111429,307.0,171.0,264.2857142857143,35.142857142857146,1084.2398158457142,148.42756652837144,2308.9298270085715,1205.671665737143,-418.27747889914286,2338.9298270085715,833.0094953264286,674.2327401297143,2278.9298270085715
76,247.72672172221732,66.5381383481217,275.4347826086956,173.08695652173913,208.2608695652174,8.0,639.8804175334783,390.2445240851304,2081.771792204348,854.2244992465219,-393.2303426990869,2111.771792204348,347.48061055730875,805.8265354323044,2051.771792204348
77,142.30028778078804,69.67711608886,174.6,172.92,92.16,8.0,-140.271076049796,386.53925781248,2189.3595214844,109.88627197270799,-411.77531127928,2219.3595214844,-519.1809832763199,848.08125732416,2159.3595214844
78,69.02528103915455,61.42804388565908,103.18181818181819,158.72727272727272,15.0,8.0,-774.6623507412728,497.86356977972724,2421.356633966818,-489.2066470059545,-332.2204992119546,2451.356633966818,-1217.6591242013633,939.1973516290908,2391.356633966818
79,48.073405901591656,53.13792991637501,82.83333333333333,151.0,8.0,8.0,-1038.3971735641665,620.8423843383333,2646.79892985,-724.4726104735834,-290.98588307691676,2676.79892985,-1394.7887573241667,1027.7390569049578,2616.79892985
80,52.74875736236876,49.42338609695,85.0,149.0,8.0,8.0,-1034.87638092125,681.0446395875,2751.9038085943753,-731.4514808655,-282.9010829925625,2781.9038085943753,-1450.8110351568753,1069.018646240625,2721.9038085943757
81,45.95501708984,53.98469594320002,81.73333333333333,149.0,8.0,8.0,-1070.2353556316666,619.5191935221333,2676.0902506506663,-742.6926167806668,-275.19134521486666,2706.0902506506663,-1410.4014200843333,1039.2431274426667,2646.0902506506663
82,46.44553243703793,54.87731170653792,82.10344827586206,149.0,8.0,8.0,-1048.5516883589657,601.4968977303105,2633.94910089,-727.6128224339309,-270.9058753704137,2663.94910089,-1387.9396130786206,1022.6923365103445,2603.94910089
83,43.22094700253448,54.09121875105516,81.48275862068965,149.0,8.0,8.0,-1076.8696204882758,607.8715062634482,2630.28626751069,-732.4043768519999,-270.53338517813796,2660.28626751069,-1385.9872583844826,1021.2537673413793,2600.28626751069
84,52.63866126018696,56.69393589185652,83.0,146.91304347826087,8.0,8.0,-1008.9245074728261,595.0068545133914,2679.921662704348,-731.7149897036521,-255.8089811905217,2709.921662704348,-1412.4436300526086,1040.7479248052173,2649.921662704348
85,46.84403542910588,55.15902463128825,81.58823529411765,142.52941176470588,8.0,8.0,-1027.370501349941,588.6606983858235,2588.7586454500006,-720.1705537683529,-206.93344205976473,2618.7586454500006,-1363.8525103405884,1004.9439410043531,2558.7586454500006
86,38.63317636342308,56.191509540261535,77.92307692307692,141.0,8.0,8.0,-1130.5601055446155,594.4109027569231,2656.4924504215383,-773.2344172551537,-197.83325077930766,2686.4924504215383,-1399.9555570153846,1031.5461707484617,2626.4924504215383
87,41.101545061378566,51.50528063092144,77.14285714285714,141.0,8.0,8.0,-1118.168683732857,644.1507263184285,2681.8677106578575,-787.9412580217141,-199.70188467842857,2711.8677106578575,-1413.4808698385714,1041.5121983121428,2651.8677106578575
88,40.25575746809643,50.83976582118571,77.14285714285714,141.0,8.0,8.0,-1122.2472272599998,648.1732504708216,2672.6520472932143,-785.2634887695357,-199.0232413155714,2702.6520472932143,-1408.5687996996428,1037.892791747857,2642.6520472932143
89,41.46085535686,51.53598302205666,77.2,141.0,8.0,8.0,-1116.6357869463332,644.9302775065333,2686.317887370333,-788.6918355306334,-200.02959543879996,2716.317887370333,-1415.8528849283332,1043.2600016276667,2656.317887370333
90,42.20462388258846,51.104443770192304,77.0,141.0,8.0,8.0,-1113.2798227153844,651.1269883375,2695.196767953462,-793.1776498648076,-200.6834376407692,2725.196767953462,-1420.585444523846,1046.7471548230772,2665.196767953462
91,41.491028594970004,49.41551742552,77.2,141.0,8.0,8.0,-1112.958618163,662.8818359375,2678.139282228,-786.3163940430001,-199.42732238770003,2708.139282228,-1411.493566894,1040.047900391,2648.139282228
92,40.31636174521001,50.484301503493356,76.86666666666666,141.0,8.0,8.0,-1123.1987874339998,652.3821451823334,2676.2555908196664,-788.9331807453999,-199.28860829669995,2706.2555908196664,-1410.4895426436667,1039.3080810543333,2646.2555908196664
93,40.10469177245599,50.50596130372,76.04,141.0,8.0,8.0,-1126.8162841800001,653.1297119140801,2680.1425097656,-797.9204199218399,-199.57484069824,2710.1425097656,-1412.5613183592002,1040.8346337888,2650.1425097656
94,40.437039693195835,50.91509914399166,75.25,141.0,8.0,8.0,-1125.1913401295835,650.1564966837501,2683.7243754070832,-806.4933217367501,-199.83860778812502,2713.7243754070832,-1414.4705098466666,1042.241424559583,2653.7243754070832
95,39.79217598654545,51.83107445456364,75.0,141.0,8.0,8.0,-1129.650312943182,640.608703613409,2679.925071023636,-807.7383728027271,-199.5588274868637,2709.925071023636,-1412.4454123759087,1040.7492342863634,2649.925071023636
96,39.11298647795454,54.22868069735455,82.27272727272727,143.54545454545453,8.0,8.0,-1119.7551269527273,609.1867509320908,2641.388760653636,-728.1509232954545,-220.50590792581815,2671.388760653636,-1391.9050847818182,1025.6142300718182,2611.388760653636
97,50.06687480005862,52.08606509504483,89.89655172413794,145.0,8.0,8.0,-1011.6945884966896,625.0641247978966,2624.5606815724136,-652.4824702822068,-232.7165301091724,2654.5606815724136,-1382.9354795268962,1019.0050680227588,2594.560681572413
98,58.97579383849998,57.21105861663125,90.375,149.875,26.0,8.0,-912.968341827375,567.464748382625,2576.7030334468755,-636.2703590393751,-272.8539943694375,2606.7030334468755,-1197.452354430625,1000.209148406875,2546.7030334468755
99,59.332020006689476,63.09799334877896,87.3157894736842,150.3684210526316,32.21052631578947,13.052631578947368,-896.7197265625789,506.8253944797368,2540.2714072773683,-655.0715332031053,-273.68964747389464,2570.2714072773683,-1124.9235968342105,941.2910509609999,2510.2714072773683
100,65.61952368418751,82.2414016723625,98.33333333333333,147.0,32.0,51.583333333333336,-858.2486724853333,343.2791684469584,2593.2467447916665,-567.2102228800416,-248.36902999874997,2623.2467447916665,-1150.52190144875,614.6997070312917,2563.2467447916665
101,65.9867553711,83.30682627363333,100.33333333333333,147.0,32.0,58.0,-841.080830892,328.271911621,2551.2581380200004,-540.0773111980001,-244.39354451466667,2581.2581380200004,-1131.6751709,548.153442383,2521.2581380200004
102,65.35544416639999,84.0652355617889,97.66666666666667,147.0,32.0,53.333333333333336,-863.5505167643332,327.7379930284444,2601.753472221111,-575.343939887,-249.17444017188893,2631.753472221111,-1154.340182833333,601.397515191,2571.753472221111
103,63.42965728758801,81.829967651364,92.52,147.0,32.96,42.08,-883.7620263672399,348.96853393548,2609.8447167960003,-624.5426562499199,-249.94052368172,2639.8447167960003,-1149.3322607424,704.18761962892,2579.8447167960003
104,57.53649450231481,61.62692317256297,85.0,147.0,27.85185185185185,8.0,-900.628555862963,513.0748223199629,2506.48473669074,-667.082908347815,-240.1543986002222,2536.4847366907406,-1147.6643156833334,972.6311329029627,2476.48473669074
105,54.818934486028574,60.62760398501429,83.57142857142857,147.0,25.523809523809526,8.0,-928.2263852075239,523.9636724562857,2516.6331728980945,-682.5374087379047,-241.11525472004763,2546.6331728980945,-1172.5990106490474,976.6169055758094,2486.6331728980945
106,54.78488555908,61.36912734986,83.0,147.0,25.44,8.0,-932.7976586914399,519.8034423828001,2528.2258593751994,-690.75509765624,-242.21284912112003,2558.2258593751994,-1178.8058935552,981.1698925781199,2498.2258593751994
107,54.338639577219986,61.35509045918334,83.0,147.0,24.6,8.0,-936.0996459960667,519.5682657878,2526.469840494666,-690.2809529621668,-242.04658813479995,2556.469840494666,-1185.3288777666667,980.4802246094331,2496.4698404946666
108,54.01919199626,60.916090647370005,82.93333333333334,147.0,24.066666666666666,8.0,-937.4510904948668,522.6321695962666,2522.487467448333,-689.8024108886,-241.66953837076665,2552.487467448333,-1188.0998291020003,978.9161560059667,2492.487467448333
109,54.4463511875762,63.209985823852385,84.04761904761905,147.0,25.904761904761905,8.761904761904763,-933.2172154019047,502.02414231076193,2521.347191220476,-679.4775826590476,-241.56157647990472,2551.347191220476,-1171.4561941961906,971.7230457124284,2491.347191220476
110,68.60461213853334,99.93798277111667,102.88888888888889,155.55555555555554,41.22222222222222,50.666666666666664,-843.6479492187223,183.19700707325558,2634.815253363334,-532.5712297227224,-333.3831481933333,2664.815253363334,-1084.3643052841112,630.8629387750001,2604.815253363334
111,78.35702362059332,115.19208882653335,111.93333333333334,169.0,52.666666666666664,62.93333333333333,-746.6470662433999,43.90665944418,2607.8821126306666,-444.6934549966667,-453.25845743819997,2637.8821126306666,-970.3316609701999,515.7845235188665,2577.8821126306666
112,77.88223427220527,116.93604399031581,111.0,169.0,51.78947368421053,64.0,-761.2821173416842,28.40317153930526,2643.7135844989475,-459.41527356600005,-459.4152542917368,2673.7135844989475,-991.7972958212631,513.2636172646841,2613.7135844989475
113,77.51997402735715,116.08040673400002,111.0,169.0,51.714285714285715,64.0,-767.1816929407858,36.45823819296429,2652.5083618157146,-460.92645372664293,-460.92643737800006,2682.5083618157146,-995.8227168495357,514.9906855991071,2622.5083618157146
114,77.0790784018393,115.58363669264288,111.0,168.57142857142858,49.857142857142854,64.14285714285714,-777.8390219552857,41.462134769985724,2674.8810511992856,-464.77067456928575,-460.6578380038929,2704.8810511992856,-1021.6504124227855,518.0375115531787,2644.8810511992856
115,73.59661750792999,110.849929428075,114.3,162.9,43.1,68.7,-814.3753814698,85.87712192537501,2687.9841552735006,-436.07394104,-409.31495208740006,2717.9841552735006,-1089.3150939939999,478.01301269525004,2657.9841552735006
116,59.60944408840555,73.16908815172222,90.55555555555556,145.0,29.88888888888889,19.444444444444443,-891.5151604546113,413.7041939630001,2536.4343668622223,-622.4491034614445,-224.9907853868889,2566.4343668622223,-1142.4869723844442,880.515306260889,2506.4343668622223
